,Yfi_price
0,4401.623534992467
1,24416.32985742641
2,10714.51618383953
3,3657.4013986805653
4,6111.173347655139
5,23933.542069559848
6,18679.72778498153
7,21531.68031439767
8,5764.563604111921
9,26284.23191412692
10,36764.694279156174
11,12600.990930259277
12,25060.82235958932
13,10454.52440915432
14,1680.8164868289548
15,10595.010697336924
16,17326.617702071486
17,15091.530603514511
18,41206.34287180766
19,22468.04595810794
20,7170.134926739958
21,19606.83706655245
22,1232.5250043276244
23,20610.01769112524
24,30513.616366613718
25,3757.486639809654
26,3881.443459830494
27,9627.227602626466
28,20078.82815926112
29,25770.78466830208
30,2418.9612455030438
31,6391.097821321165
32,19885.599065888124
33,11685.172675980306
34,12761.988210252344
35,33319.07668682523
36,15388.711836378505
37,39771.68678351101
38,4618.158926411612
39,25672.715192622854
40,6396.487117623626
41,2342.6921335165935
42,17562.59003714887
43,11450.939004799355
44,6269.627826898917
45,11232.316170002345
46,8008.283730244359
47,2729.1591284112583
48,10675.40757913108
49,6353.447985139466
50,9509.201370320648
51,6580.967794859088
52,23781.468472570334
53,40853.884762344554
54,7700.568350582723
55,5056.971424323626
56,24372.027507906325
57,14694.72526060949
58,12130.470202404638
59,15046.050905235907
60,4886.929586415352
61,8238.806128867152
62,5706.840435938709
63,17839.04281288931
64,11867.142856833323
65,16389.044152651048
66,13027.690167896388
67,29373.049319777907
68,17288.626500339877
69,5150.640319345868
70,8970.88324039118
71,1946.2358719256224
72,16728.07293724099
73,38375.63657405551
74,5126.873102425456
75,6608.517181190843
76,3997.970902459317
77,11263.314114782961
78,15556.383715101296
79,18897.278854063603
80,10308.220234150684
81,36558.78121913858
82,43854.523440795536
83,4718.460217122084
84,15883.0272221135
85,14601.472790630232
86,28454.931414074785
87,5556.414808730429
88,7734.700787846812
89,14999.130633372892
90,15833.276846059975
91,4937.496406216391
92,10107.654789706596
93,8784.924018560114
94,1720.207442307723
95,17212.926876010206
96,15960.722939789386
97,3671.2323106732797
98,7446.634544477658
99,9616.136675772783
100,4879.008540344275
101,12607.696400460713
102,6504.531667999667
103,2773.66769301387
104,28723.52826186516
105,7348.083883250681
106,9748.360835109383
107,15163.700263686625
108,12664.916007025302
109,2420.3457905095524
110,10257.84058087527
111,18566.361718605636
112,11176.296857903546
113,24362.915383524403
114,5099.835791238706
115,10129.024169991606
116,4514.4101540868705
117,6195.937906943886
118,10471.996745195112
119,723.6436224552205
120,17388.15328835901
121,16471.242047634936
122,32585.923432276035
123,17832.701965075823
124,7465.949770513769
125,3445.207267538004
126,5313.750147917186
127,20291.17350741391
128,3656.5515432722395
129,8454.921976300066
130,6862.537638641777
131,10009.508737856235
132,9549.377624374727
133,4054.3499244046666
134,5438.339653908024
135,11946.196569903597
136,19047.37328933871
137,31697.207268947106
138,8981.224646831435
139,6168.1062455969895
140,23522.16403899216
141,12517.25036880779
142,23316.859685583895
143,6458.219830057939
144,5362.895162344331
145,31230.330372844965
146,6369.7007472026135
147,11164.71227363126
148,8914.375102271968
149,11244.101576304
150,24108.940364968716
151,338.02795367319993
152,23213.14680206099
153,7577.595146816819
154,33706.26675868739
155,25475.537322241842
156,5869.330509285916
157,5949.937626413132
158,3654.4508470942446
159,11379.524029754564
160,2263.2655786348564
161,8194.302924918144
162,20314.84733451518
163,8504.012605528991
164,15425.077288547815
165,7406.074696938058
166,1850.7090923528922
167,18245.14867103348
168,12033.275366887923
169,8557.873316480998
170,7396.192162088083
171,8887.305788491307
172,3216.7368717495974
173,2925.7086767288433
174,11505.673236622328
175,13403.482872283661
176,3562.55425603158
177,4503.137449912345
178,4378.538871294905
179,5542.996362223803
180,9123.578501977765
181,3991.39624854617
182,15049.737701649865
183,5683.489841442385
184,37547.26673140795
185,18489.085622912706
186,866.726677695788
187,16593.501477483118
188,9048.39118795521
189,10376.701424981598
190,3561.028330379227
191,4765.290656360026
192,10329.35739144762
193,8595.475035117448
194,15253.866723876878
195,23216.496770820162
196,22480.549668245396
197,31117.391272796973
198,15765.067577647727
199,2717.756959493949
200,20844.316073498325
201,16849.680234694657
202,8586.5469226117
203,11175.874330848479
204,11168.514524451919
205,7132.595085824269
206,8848.165347192611
207,5346.559621531545
208,4854.53425345143
209,12679.092561632218
210,7150.388769247307
211,28491.247814994993
212,9378.19110369775
213,4477.893398994573
214,29206.367584090276
215,16540.0445264104
216,13959.270794385633
217,41280.64473789196
218,13194.608480535904
219,43717.265148982195
220,9051.23035547231
221,13188.682461509883
222,6475.009071281216
223,5693.679534529211
224,4250.888598536618
225,1686.22434626391
226,4958.558613292132
227,17106.67707275377
228,23718.425204676383
229,3249.87452503137
230,12374.312140274249
231,7349.8054439626185
232,19275.251778603193
233,14531.324129846755
234,15153.50687416814
235,2049.5630832287266
236,21007.952641855314
237,3978.8116989785526
238,23993.904236783677
239,1099.573175146422
240,6887.085354465618
241,2421.57486201474
242,7001.450604191447
243,9408.057584285501
244,6883.908078272277
245,3694.1464235231847
246,18558.393183800355
247,15502.22565965016
248,390.9518279715819
249,11489.968251478707
250,18674.5149598585
251,5965.571380819086
252,2770.8503589365564
253,12121.582206860996
254,26161.0391987132
255,20265.164751276952
256,16748.167131975544
257,3416.6184122903232
258,3516.934045161895
259,1394.2965486863764
260,2947.7182467848106
261,6048.2608010677
262,5912.053272648199
263,12850.56547472454
264,13530.951208608754
265,9522.479019202608
266,8231.096971862962
267,5333.93842329699
268,2923.1563990996488
269,13956.111458918915
270,3757.4785739594045
271,4614.967214952533
272,13789.342560496556
273,17388.14848068384
274,10094.0216396128
275,6278.732781726685
276,13489.355740166655
277,8765.045229727131
278,7935.730850203857
279,2219.3628232456067
280,16308.077104157457
281,8944.999640175723
282,10917.48012444779
283,6787.410646126095
284,13688.087282945997
285,8941.405212651007
286,3894.4298602088425
287,14308.821121560553
288,29588.228325486427
